cve,vendor_project,product,vulnerability_name,short_description,date_added,required_action,due_date,in_wild,initial_epss,initial_percentile,initial_date,current_epss,current_percentile,current_date,cvss_v3_base,cvss_v3_severity,cvss_v2_base,epss_delta
CVE-2020-3452,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Cisco ASA and FTD Read-Only Path Traversal Vulnerability,Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an improper input validation vulnerability when HTTP requests process URLs.  An attacker could exploit this vulnerability by sending a crafted HTTP request containing directory traversal character sequences to an affected device. A successful exploit could allow the attacker to view arbitrary files within the web services file system on the targeted device.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94452,0.99992,2026-04-20,0.94452,0.99992,2026-04-23,NA,NA,NA,0
CVE-2023-44487,IETF,HTTP/2,HTTP/2 Rapid Reset Attack Vulnerability,HTTP/2 contains a rapid reset vulnerability that allows for a distributed denial-of-service attack (DDoS).,2023-10-10,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2023-10-31,TRUE,0.94395,0.99975,2026-04-20,0.94446,0.99991,2026-04-23,7.5,HIGH,NA,5e-4
CVE-2022-30525,Zyxel,Multiple Firewalls,Zyxel Multiple Firewalls OS Command Injection Vulnerability,A command injection vulnerability in the CGI program of some Zyxel firewall versions could allow an attacker to modify specific files and then execute some OS commands on a vulnerable device.,2022-05-16,Apply updates per vendor instructions.,2022-06-06,TRUE,0.94445,0.99991,2026-04-20,0.94445,0.99991,2026-04-23,NA,NA,NA,0
CVE-2022-22954,VMware,Workspace ONE Access and Identity Manager,VMware Workspace ONE Access and Identity Manager Server-Side Template Injection Vulnerability,VMware Workspace ONE Access and Identity Manager allow for remote code execution due to server-side template injection.,2022-04-14,Apply updates per vendor instructions.,2022-05-05,TRUE,0.94444,0.99991,2026-04-20,0.94444,0.99991,2026-04-23,NA,NA,NA,0
CVE-2019-19781,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance","Citrix ADC, Gateway, and SD-WAN WANOP Appliance Code Execution Vulnerability","Citrix ADC, Citrix Gateway, and multiple Citrix SD-WAN WANOP appliance models contain an unspecified vulnerability that could allow an unauthenticated attacker to perform code execution.",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94442,0.99991,2026-04-20,0.94442,0.9999,2026-04-23,NA,NA,NA,0
CVE-2023-32315,Ignite Realtime,Openfire,Ignite Realtime Openfire Path Traversal Vulnerability,Ignite Realtime Openfire contains a path traversal vulnerability that allows an unauthenticated attacker to access restricted pages in the Openfire Admin Console reserved for administrative users.,2023-08-24,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-09-14,TRUE,0.94441,0.9999,2026-04-20,0.94441,0.9999,2026-04-23,NA,NA,NA,0
CVE-2019-0604,Microsoft,SharePoint,Microsoft SharePoint Remote Code Execution Vulnerability,Microsoft SharePoint fails to check the source markup of an application package. An attacker who successfully exploits the vulnerability could run remote code in the context of the SharePoint application pool and the SharePoint server farm account.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94441,0.9999,2026-04-20,0.94441,0.9999,2026-04-23,NA,NA,NA,0
CVE-2021-26084,Atlassian,Confluence Server and Data Center,Atlassian Confluence Server and Data Center Object-Graph Navigation Language (OGNL) Injection Vulnerability,Atlassian Confluence Server and Data Server contain an Object-Graph Navigation Language (OGNL) injection vulnerability that may allow an unauthenticated attacker to execute code.,2021-11-03,Apply updates per vendor instructions.,2021-11-17,TRUE,0.9444,0.9999,2026-04-20,0.9444,0.9999,2026-04-23,NA,NA,NA,0
CVE-2022-24112,Apache,APISIX,Apache APISIX Authentication Bypass Vulnerability,Apache APISIX contains an authentication bypass vulnerability that allows for remote code execution.,2022-08-25,Apply updates per vendor instructions.,2022-09-15,TRUE,0.94439,0.99989,2026-04-20,0.94439,0.99988,2026-04-23,NA,NA,NA,0
CVE-2022-1040,Sophos,Firewall,Sophos Firewall Authentication Bypass Vulnerability,An authentication bypass vulnerability in User Portal and Webadmin of Sophos Firewall allows for remote code execution.,2022-03-31,Apply updates per vendor instructions.,2022-04-21,TRUE,0.94439,0.99989,2026-04-20,0.94439,0.99989,2026-04-23,NA,NA,NA,0
CVE-2017-10271,Oracle,WebLogic Server,Oracle Corporation WebLogic Server Remote Code Execution Vulnerability,Oracle Corporation WebLogic Server contains a vulnerability that allows for remote code execution.,2022-02-10,Apply updates per vendor instructions.,2022-08-10,TRUE,0.94439,0.99989,2026-04-20,0.94439,0.99989,2026-04-23,NA,NA,NA,0
CVE-2020-14883,Oracle,WebLogic Server,Oracle WebLogic Server Unspecified Vulnerability,"Oracle WebLogic Server contains an unspecified vulnerability in the Console component with high impacts to confidentilaity, integrity, and availability.",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94439,0.9999,2026-04-20,0.94439,0.99989,2026-04-23,NA,NA,NA,0
CVE-2021-43798,Grafana Labs,Grafana,Grafana Path Traversal Vulnerability,Grafana contains a path traversal vulnerability that could allow access to local files.,2025-10-09,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-10-30,TRUE,0.94438,0.99988,2026-04-20,0.94438,0.99988,2026-04-23,NA,NA,NA,0
CVE-2023-35078,Ivanti,Endpoint Manager Mobile (EPMM),Ivanti Endpoint Manager Mobile Authentication Bypass Vulnerability,"Ivanti Endpoint Manager Mobile (EPMM, previously branded MobileIron Core) contains an authentication bypass vulnerability that allows unauthenticated access to specific API paths. An attacker with access to these API paths can access personally identifiable information (PII) such as names, phone numbers, and other mobile device details for users on a vulnerable system. An attacker can also make other configuration changes including installing software and modifying security profiles on registered devices.",2023-07-25,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-08-15,TRUE,0.94468,0.99997,2026-04-20,0.94438,0.99988,2026-04-23,NA,NA,NA,-3e-4
CVE-2020-14750,Oracle,WebLogic Server,Oracle WebLogic Server Remote Code Execution Vulnerability,Oracle WebLogic Server contains an unspecified vulnerability allowing an unauthenticated attacker to perform remote code execution. This vulnerability is related to CVE-2020-14882.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94438,0.99988,2026-04-20,0.94438,0.99987,2026-04-23,NA,NA,NA,0
CVE-2024-7593,Ivanti,Virtual Traffic Manager,Ivanti Virtual Traffic Manager Authentication Bypass Vulnerability,"Ivanti Virtual Traffic Manager contains an authentication bypass vulnerability that allows a remote, unauthenticated attacker to create a chosen administrator account.",2024-09-24,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-15,TRUE,0.94436,0.99987,2026-04-20,0.94436,0.99987,2026-04-23,NA,NA,NA,0
CVE-2023-46604,Apache,ActiveMQ,Apache ActiveMQ Deserialization of Untrusted Data Vulnerability,Apache ActiveMQ contains a deserialization of untrusted data vulnerability that may allow a remote attacker with network access to a broker to run shell commands by manipulating serialized class types in the OpenWire protocol to cause the broker to instantiate any class on the classpath.,2023-11-02,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-11-23,TRUE,0.94436,0.99987,2026-04-20,0.94436,0.99987,2026-04-23,NA,NA,NA,0
CVE-2023-46747,F5,BIG-IP Configuration Utility,F5 BIG-IP Configuration Utility Authentication Bypass Vulnerability,F5 BIG-IP Configuration utility contains an authentication bypass using an alternate path or channel vulnerability due to undisclosed requests that may allow an unauthenticated attacker with network access to the BIG-IP system through the management port and/or self IP addresses to execute system commands. This vulnerability can be used in conjunction with CVE-2023-46748.,2023-10-31,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-11-21,TRUE,0.94436,0.99986,2026-04-20,0.94436,0.99986,2026-04-23,NA,NA,NA,0
CVE-2023-40044,Progress,WS_FTP Server,Progress WS_FTP Server Deserialization of Untrusted Data Vulnerability,Progress WS_FTP Server contains a deserialization of untrusted data vulnerability in the Ad Hoc Transfer module that allows an authenticated attacker to execute remote commands on the underlying operating system.,2023-10-05,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-10-26,TRUE,0.94436,0.99987,2026-04-20,0.94436,0.99986,2026-04-23,NA,NA,NA,0
CVE-2019-6340,Drupal,Core,Drupal Core Remote Code Execution Vulnerability,"In Drupal Core, some field types do not properly sanitize data from non-form sources. This can lead to arbitrary PHP code execution in some cases.",2022-03-25,Apply updates per vendor instructions.,2022-04-15,TRUE,0.94436,0.99988,2026-04-20,0.94436,0.99987,2026-04-23,NA,NA,NA,0
CVE-2021-36260,Hikvision,Security cameras web server,Hikvision Improper Input Validation,A command injection vulnerability in the web server of some Hikvision product. Due to the insufficient input validation.,2022-01-10,Apply updates per vendor instructions.,2022-01-24,TRUE,0.94436,0.99986,2026-04-20,0.94436,0.99986,2026-04-23,NA,NA,NA,0
CVE-2022-29464,WSO2,Multiple Products,WSO2 Multiple Products Unrestrictive Upload of File Vulnerability,"Multiple WSO2 products allow for unrestricted file upload, resulting in remote code execution.",2022-04-25,Apply updates per vendor instructions.,2022-05-16,TRUE,0.94434,0.99986,2026-04-20,0.94434,0.99985,2026-04-23,9.8,CRITICAL,10,0
CVE-2021-40438,Apache,Apache,Apache HTTP Server-Side Request Forgery (SSRF),A crafted request uri-path can cause mod_proxy to forward the request to an origin server choosen by the remote user. This issue affects Apache HTTP Server 2.4.48 and earlier.,2021-12-01,Apply updates per vendor instructions.,2021-12-15,TRUE,0.94432,0.99986,2026-04-20,0.94432,0.99985,2026-04-23,NA,NA,NA,0
CVE-2024-28995,SolarWinds,Serv-U,SolarWinds Serv-U Path Traversal Vulnerability ,SolarWinds Serv-U contains a path traversal vulnerability that allows an attacker access to read sensitive files on the host machine.,2024-07-17,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-08-07,TRUE,0.94431,0.99985,2026-04-20,0.94431,0.99985,2026-04-23,NA,NA,NA,0
CVE-2018-11776,Apache,Struts,Apache Struts Remote Code Execution Vulnerability,"Apache Struts contains a vulnerability that allows for remote code execution under two circumstances. One, where the alwaysSelectFullNamespace option is true and the value isn't set for a result defined in underlying configurations and in same time, its upper package configuration have no or wildcard namespace.  Or, using URL tag which doesn't have value and action set and in same time, its upper package configuration have no or wildcard namespace.",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94431,0.99985,2026-04-20,0.94431,0.99984,2026-04-23,NA,NA,NA,0
CVE-2019-16759,vBulletin,vBulletin,vBulletin PHP Module Remote Code Execution Vulnerability,The PHP module within vBulletin contains an unspecified vulnerability that allows for remote code execution via the widgetConfig[code] parameter in an ajax/render/widget_php routestring request.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.9443,0.99985,2026-04-20,0.9443,0.99984,2026-04-23,NA,NA,NA,0
CVE-2019-7609,Elastic,Kibana,Kibana Arbitrary Code Execution,Kibana contain an arbitrary code execution flaw in the Timelion visualizer.,2022-01-10,Apply updates per vendor instructions.,2022-07-10,TRUE,0.94429,0.99984,2026-04-20,0.94429,0.99984,2026-04-23,NA,NA,NA,0
CVE-2017-7269,Microsoft,Internet Information Services (IIS),Microsoft Windows Server Buffer Overflow Vulnerability,"Microsoft Windows Server 2003 R2 contains a buffer overflow vulnerability in Internet Information Services (IIS) 6.0 which allows remote attackers to execute code via a long header beginning with ""If: <http://"" in a PROPFIND request.",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94429,0.99984,2026-04-20,0.94429,0.99983,2026-04-23,NA,NA,NA,0
CVE-2022-22965,VMware,Spring Framework,Spring Framework JDK 9+ Remote Code Execution Vulnerability,Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote code execution (RCE) via data binding.,2022-04-04,Apply updates per vendor instructions.,2022-04-25,TRUE,0.94428,0.99983,2026-04-20,0.94428,0.99983,2026-04-23,NA,NA,NA,0
CVE-2019-9670,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Improper Restriction of XML External Entity Reference,Synacor Zimbra Collaboration Suite (ZCS) contains an improper restriction of XML external entity (XXE) vulnerability in the mailboxd component.,2022-01-10,Apply updates per vendor instructions.,2022-07-10,TRUE,0.94428,0.99984,2026-04-20,0.94428,0.99983,2026-04-23,NA,NA,NA,0
CVE-2022-40684,Fortinet,Multiple Products,Fortinet Multiple Products Authentication Bypass Vulnerability,"Fortinet FortiOS, FortiProxy, and FortiSwitchManager contain an authentication bypass vulnerability that could allow an unauthenticated attacker to perform operations on the administrative interface via specially crafted HTTP or HTTPS requests.",2022-10-11,Apply updates per vendor instructions.,2022-11-01,TRUE,0.94427,0.99983,2026-04-20,0.94427,0.99983,2026-04-23,NA,NA,NA,0
CVE-2024-4040,CrushFTP,CrushFTP,CrushFTP VFS Sandbox Escape Vulnerability,CrushFTP contains an unspecified sandbox escape vulnerability that allows a remote attacker to escape the CrushFTP virtual file system (VFS).,2024-04-24,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-05-01,TRUE,0.94426,0.99983,2026-04-20,0.94426,0.99982,2026-04-23,9.8,CRITICAL,NA,0
CVE-2020-5902,F5,BIG-IP,F5 BIG-IP Traffic Management User Interface (TMUI) Remote Code Execution Vulnerability,F5 BIG-IP Traffic Management User Interface (TMUI) contains a remote code execution vulnerability in undisclosed pages.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94426,0.99983,2026-04-20,0.94426,0.99982,2026-04-23,NA,NA,NA,0
CVE-2024-36401,OSGeo,GeoServer,OSGeo GeoServer GeoTools Eval Injection Vulnerability,OSGeo GeoServer GeoTools contains an improper neutralization of directives in dynamically evaluated code vulnerability due to unsafely evaluating property names as XPath expressions. This allows unauthenticated attackers to conduct remote code execution via specially crafted input.,2024-07-15,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-08-05,TRUE,0.94425,0.99982,2026-04-20,0.94425,0.99982,2026-04-23,NA,NA,NA,0
CVE-2024-3273,D-Link,Multiple NAS Devices,D-Link Multiple NAS Devices Command Injection Vulnerability,"D-Link DNS-320L, DNS-325, DNS-327L, and DNS-340L contain a command injection vulnerability. When combined with CVE-2024-3272, this can lead to remote, unauthorized code execution.",2024-04-11,This vulnerability affects legacy D-Link products. All associated hardware revisions have reached their end-of-life (EOL) or end-of-service (EOS) life cycle and should be retired and replaced per vendor instructions.,2024-05-02,TRUE,0.94425,0.99982,2026-04-20,0.94425,0.99981,2026-04-23,NA,NA,NA,0
CVE-2021-40539,Zoho,ManageEngine,Zoho ManageEngine ADSelfService Plus Authentication Bypass Vulnerability,Zoho ManageEngine ADSelfService Plus contains an authentication bypass vulnerability affecting the REST API URLs which allow for remote code execution.,2021-11-03,Apply updates per vendor instructions.,2021-11-17,TRUE,0.94424,0.99982,2026-04-20,0.94424,0.99981,2026-04-23,9.8,CRITICAL,7.5,0
CVE-2018-15961,Adobe,ColdFusion,Adobe ColdFusion Unrestricted File Upload Vulnerability,Adobe ColdFusion contains an unrestricted file upload vulnerability that could allow for code execution.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.94422,0.99981,2026-04-20,0.94422,0.9998,2026-04-23,9.8,CRITICAL,10,0
CVE-2018-2628,Oracle,WebLogic Server,Oracle WebLogic Server Unspecified Vulnerability,Oracle WebLogic Server contains an unspecified vulnerability which can allow an unauthenticated attacker with T3 network access to compromise the server.,2022-09-08,Apply updates per vendor instructions.,2022-09-29,TRUE,0.94422,0.99981,2026-04-20,0.94422,0.99981,2026-04-23,NA,NA,NA,0
CVE-2017-0144,Microsoft,SMBv1,Microsoft SMBv1 Remote Code Execution Vulnerability,The SMBv1 server in multiple Microsoft Windows versions allows remote attackers to execute arbitrary code via crafted packets.,2022-02-10,Apply updates per vendor instructions.,2022-08-10,TRUE,0.94318,0.9995,2026-04-20,0.9442,0.9998,2026-04-23,NA,NA,NA,0.001
CVE-2020-25213,WordPress,File Manager Plugin,WordPress File Manager Plugin Remote Code Execution Vulnerability,WordPress File Manager plugin contains a remote code execution vulnerability that allows unauthenticated users to execute PHP code and upload malicious files on a target site.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.9442,0.9998,2026-04-20,0.9442,0.9998,2026-04-23,NA,NA,NA,0
